video_id,gloss,split,url,bbox,fps,frame_start,frame_end,source,video_path
69241,book,train,http://aslbricks.org/New/ASL-Videos/book.mp4,"[385, 37, 885, 720]",25,1,-1,aslbrick,/Users/pratham/Programming/Hackathon/data/videos/69241.mp4
69302,drink,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,"[551, 68, 1350, 1080]",25,1,-1,aslbrick,/Users/pratham/Programming/Hackathon/data/videos/69302.mp4
65539,drink,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,"[153, 11, 488, 370]",25,1,-1,aslsignbank,/Users/pratham/Programming/Hackathon/data/videos/65539.mp4
17710,drink,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,"[196, 15, 521, 414]",25,1,-1,startasl,/Users/pratham/Programming/Hackathon/data/videos/17710.mp4
17733,drink,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,"[186, 63, 551, 400]",25,1,-1,aslsearch,/Users/pratham/Programming/Hackathon/data/videos/17733.mp4
65540,drink,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,"[167, 19, 480, 370]",25,1,-1,aslsignbank,/Users/pratham/Programming/Hackathon/data/videos/65540.mp4
17734,drink,val,http://www.aslsearch.com/signs/videos/drink.mp4,"[183, 55, 552, 400]",25,1,-1,aslsearch,/Users/pratham/Programming/Hackathon/data/videos/17734.mp4
17711,drink,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,"[289, 9, 783, 480]",25,1,-1,signschool,/Users/pratham/Programming/Hackathon/data/videos/17711.mp4
17712,drink,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,"[673, 90, 1571, 1072]",25,1,-1,signschool,/Users/pratham/Programming/Hackathon/data/videos/17712.mp4
17713,drink,test,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,"[28, 0, 542, 480]",25,1,-1,asldeafined,/Users/pratham/Programming/Hackathon/data/videos/17713.mp4
17709,drink,train,https://media.spreadthesign.com/video/mp4/13/153289.mp4,"[41, 9, 257, 240]",25,1,-1,spreadthesign,/Users/pratham/Programming/Hackathon/data/videos/17709.mp4
17720,drink,train,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,"[49, 3, 220, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/17720.mp4
17721,drink,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,"[66, 19, 209, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/17721.mp4
17722,drink,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,"[66, 19, 209, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/17722.mp4
17723,drink,train,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,"[65, 20, 208, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/17723.mp4
17724,drink,val,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,"[68, 18, 220, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/17724.mp4
12328,computer,train,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,"[56, 11, 240, 192]",25,1,-1,signingsavvy,/Users/pratham/Programming/Hackathon/data/videos/12328.mp4
12312,computer,val,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,"[422, 50, 824, 720]",25,1,-1,startasl,/Users/pratham/Programming/Hackathon/data/videos/12312.mp4
12311,computer,train,https://media.spreadthesign.com/video/mp4/13/51378.mp4,"[27, 0, 313, 240]",25,1,-1,spreadthesign,/Users/pratham/Programming/Hackathon/data/videos/12311.mp4
12338,computer,train,http://www.aslsearch.com/signs/videos/computer.mp4,"[221, 42, 501, 400]",25,1,-1,aslsearch,/Users/pratham/Programming/Hackathon/data/videos/12338.mp4
12313,computer,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,"[409, 51, 833, 720]",25,1,-1,startasl,/Users/pratham/Programming/Hackathon/data/videos/12313.mp4
12314,computer,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,"[257, 38, 1684, 1080]",25,1,-1,signschool,/Users/pratham/Programming/Hackathon/data/videos/12314.mp4
